seller-sku	asin1	price	quantity
DCG010120-882	B0721WH767	45.2	30
DCG010120-886	B072P27F9B	65.81	18
DCG010120-889	B0746L26VP	89.07	20
DCG010120-891	B074P3D4ZL	34.81	30
DCG010120-892	B074QM4NK3	62.81	30
DCG010120-893	B0752XDHC9	38.34	30
DCG010120-899	B075FQPF4H	87.02	30
DCG010120-91	B0029T0S70	68.18	20
DCG010120-910	B01DY6SZS0	38.11	30
DCG010120-912	B01M25O4BX	31.29	30
DCG010120-913	B06XP8ZKPS	42.75	30
DCG010120-915	B07474FT67	71.18	30
DCG010120-916	B07478BVPW	52.65	30
DCG010120-918	B07BK9JQG3	76.42	30
DCG010120-92	B0030MQQUS	40.92	23
DCG010120-921	B07CHSH27P	83.61	30
DCG010120-922	B07CVRCVZS	35.22	30
DCG010120-923	B07DGLL1VZ	31.16	29
DCG010120-924	B07FBFGF2J	52.14	30
DCG010120-925	B07FF36L9R	51.57	20
DCG010120-926	B07FN6BZZ5	29.13	21
DCG010120-929	B07JLXW6FJ	34.33	30
DCG010120-93	B006LPNEJC	37.63	23
DCG010120-930	B07K6Y6GVM	42.79	30
DCG010120-932	B07L5HD5LX	61.59	30
DCG010120-933	B07MDXKG68	36.74	30
DCG010120-934	B07MZ3SG8X	59.55	20
DCG010120-935	B07N5MQF9K	35.64	30
DCG010120-936	B07NDZPSHG	85.56	20
DCG010120-94	B007KOC24G	40.31	30
DCG010120-95	B00FDYQ8V8	26.72	24
DCG010120-96	B00II5YE56	78.8	30
DCG010120-97	B00XYZBN4K	44.32	24
DCG010120-98	B0163G3Y2K	91.98	25
DCG010120-99	B01DPW2UMA	39.13	30
DCG01012010	B00JN2OTLW	38.83	30
DCG010120105	B07K7FYLCJ	38.93	26
DCG010120106	B07KJV1HYB	65.03	16
DCG010120107	B07KK9J44L	94.9	30
DCG01012011	B00MXDGB0A	36.03	30
DCG010120115	B07N1R2FGF	26.78	30
